Journal_Title,JCR_Version,Total_Citations,JIF,Eigenfactor Score
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2013,481,1.727,0.00102
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2013,1441,1.654,0.00344
SOCIAL SCIENCE COMPUTER REVIEW,2013,701,1.542,0.00201
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2013,2653,1.479,0.00418
ONLINE INFORMATION REVIEW,2013,558,1.443,0.00183
LIBRARY & INFORMATION SCIENCE RESEARCH,2013,562,1.384,0.00149
RESEARCH EVALUATION,2013,480,1.338,0.00145
COLLEGE & RESEARCH LIBRARIES,2013,528,1.333,0.0013
INFORMATION SYSTEMS JOURNAL,2013,832,1.333,0.00196
Journal of Knowledge Management,2013,1123,1.257,0.00117
Journal of the Association for Information Systems,2013,999,1.25,0.00276
TELECOMMUNICATIONS POLICY,2013,981,1.128,0.00196
JOURNAL OF INFORMATION SCIENCE,2013,937,1.087,0.00204
INFORMATION PROCESSING & MANAGEMENT,2013,1836,1.069,0.00388
LEARNED PUBLISHING,2013,213,1.037,0.00085
JOURNAL OF DOCUMENTATION,2013,1046,1.035,0.0018
MIS Quarterly Executive,2013,262,1.031,0.00093
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2013,716,0.979,0.00129
INFORMATION SOCIETY,2013,598,0.972,0.0011
Information Technology & People,2013,351,0.938,0.00064
Health Information and Libraries Journal,2013,429,0.932,0.00115
Information Technology & Management,2013,139,0.897,0.00043
LIBRARY QUARTERLY,2013,291,0.861,0.0005
Revista Espanola de Documentacion Cientifica,2013,174,0.717,0.00038
TELEMATICS AND INFORMATICS,2013,263,0.705,0.00083
Knowledge Management Research & Practice,2013,254,0.683,0.00062
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2013,512,0.66,0.0012
PORTAL-LIBRARIES AND THE ACADEMY,2013,210,0.651,0.00061
LIBRARY RESOURCES & TECHNICAL SERVICES,2013,85,0.636,0.0005
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2013,600,0.594,0.00069
ASLIB PROCEEDINGS,2013,241,0.575,0.00078
JOURNAL OF ACADEMIC LIBRARIANSHIP,2013,551,0.574,0.00143
SERIALS REVIEW,2013,138,0.531,0.00048
Australian Academic & Research Libraries,2013,89,0.526,0.00032
Ethics and Information Technology,2013,248,0.52,0.00044
Journal of Global Information Technology Management,2013,89,0.5,0.0002
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2013,220,0.5,0.00038
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2013,169,0.484,0.00008
Journal of Global Information Management,2013,197,0.483,0.00014
KNOWLEDGE ORGANIZATION,2013,144,0.448,0.00029
Information Development,2013,85,0.44,0.00017
Information Technology for Development,2013,167,0.421,0.00035
Journal of Organizational and End User Computing,2013,97,0.417,0.00024
Profesional de la Informacion,2013,175,0.402,0.00054
LIBRARY HI TECH,2013,270,0.394,0.00081
Libraries & The Cultural Record,2013,26,0.381,0.00012
SCIENTIST,2013,215,0.351,0.0004
INTERLENDING & DOCUMENT SUPPLY,2013,58,0.35,0.00014
Malaysian Journal of Library & Information Science,2013,60,0.333,0.00022
Information & Culture,2013,8,0.316,3.00E-05
LIBRARY AND INFORMATION SCIENCE,2013,21,0.312,0.00008
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2013,68,0.276,0.00023
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2013,151,0.273,0.00042
REFERENCE & USER SERVICES QUARTERLY,2013,104,0.265,0.00037
LIBRI,2013,142,0.263,0.00026
LIBRARY TRENDS,2013,424,0.262,0.00057
JOURNAL OF SCHOLARLY PUBLISHING,2013,68,0.255,0.00029
LIBRARY JOURNAL,2013,372,0.237,0.00081
ELECTRONIC LIBRARY,2013,208,0.228,0.00052
Australian Library Journal,2013,85,0.226,0.00012
African Journal of Library Archives and Information Science,2013,19,0.115,0.00002
Transinformacao,2013,18,0.083,3.00E-05
Informacao & Sociedade-Estudos,2013,18,0.08,0.00004
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2013,31,0.074,0.00005
Investigacion Bibliotecologica,2013,29,0.062,0.00005
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2013,278,0.056,0.00023
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2013,6,0.049,0.00004
ECONTENT,2013,26,0.034,0.0001
MIS QUARTERLY,2014,"9,600",5.311,0.01203
JOURNAL OF INFORMATION TECHNOLOGY,2014,"1,386",4.525,0.00386
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2014,"5,832",3.504,0.01497
Journal of Computer-Mediated Communication,2014,"2,643",3.117,0.00437
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2014,"1,045",2.692,0.00113
INFORMATION SYSTEMS RESEARCH,2014,"4,404",2.436,0.0066
Journal of Informetrics,2014,"1,200",2.412,0.00297
GOVERNMENT INFORMATION QUARTERLY,2014,"1,162",2.321,0.0021
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2014,"1,545",2.213,0.00209
SCIENTOMETRICS,2014,"5,805",2.183,0.00781
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2014,"3,258",2.062,0.00301
INFORMATION & MANAGEMENT,2014,"3,661",1.865,0.0028
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2014,"5,434",1.846,0.01034
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2014,"5,434",1.846,0.01034
International Journal of Computer-Supported Collaborative Learning,2014,525,1.841,0.00136
Journal of the Association for Information Systems,2014,"1,119",1.774,0.00256
INFORMATION SYSTEMS JOURNAL,2014,923,1.766,0.00166
Information and Organization,2014,365,1.727,0.00088
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2014,"3,193",1.655,0.00462
JOURNAL OF HEALTH COMMUNICATION,2014,"2,353",1.617,0.00671
Journal of Knowledge Management,2014,"1,385",1.586,0.00157
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2014,"1,418",1.55,0.00273
TELECOMMUNICATIONS POLICY,2014,"1,203",1.411,0.00262
SOCIAL SCIENCE COMPUTER REVIEW,2014,846,1.364,0.00249
INFORMATION PROCESSING & MANAGEMENT,2014,"1,983",1.265,0.00242
COLLEGE & RESEARCH LIBRARIES,2014,557,1.206,0.00106
JOURNAL OF INFORMATION SCIENCE,2014,"1,005",1.158,0.00154
LIBRARY & INFORMATION SCIENCE RESEARCH,2014,626,1.153,0.00127
MIS Quarterly Executive,2014,339,1.152,0.00094
RESEARCH EVALUATION,2014,517,1.123,0.00085
TELEMATICS AND INFORMATICS,2014,396,1.12,0.00105
INFORMATION SOCIETY,2014,682,1.048,0.00095
Ethics and Information Technology,2014,291,1.021,0.00088
LEARNED PUBLISHING,2014,225,0.919,0.00062
ONLINE INFORMATION REVIEW,2014,595,0.918,0.00103
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2014,157,0.844,0.00032
JOURNAL OF DOCUMENTATION,2014,"1,064",0.833,0.0008
Information Technology & People,2014,354,0.784,0.00047
Journal of Global Information Technology Management,2014,122,0.708,0.00012
ASLIB PROCEEDINGS,2014,327,0.676,0.00066
ASLIB PROCEEDINGS,2014,327,0.676,0.00066
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2014,280,0.651,0.00035
PORTAL-LIBRARIES AND THE ACADEMY,2014,236,0.639,0.00034
Revista Espanola de Documentacion Cientifica,2014,155,0.636,0.00028
Health Information and Libraries Journal,2014,428,0.632,0.00094
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2014,614,0.628,0.0011
LIBRARY HI TECH,2014,329,0.598,0.00067
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2014,303,0.586,0.00042
KNOWLEDGE ORGANIZATION,2014,157,0.585,0.0001
SERIALS REVIEW,2014,128,0.557,0.0003
Knowledge Management Research & Practice,2014,278,0.554,0.00051
Information Technology for Development,2014,147,0.553,0.00032
ELECTRONIC LIBRARY,2014,301,0.535,0.0006
SCIENTIST,2014,233,0.505,0.00065
LIBRARY QUARTERLY,2014,285,0.5,0.00058
Information Development,2014,95,0.491,0.00022
LAW LIBRARY JOURNAL,2014,468,0.475,0.00019
LIBRARY JOURNAL,2014,471,0.465,0.00103
Journal of Organizational and End User Computing,2014,128,0.455,0.0002
LIBRARY RESOURCES & TECHNICAL SERVICES,2014,114,0.452,0.00014
JOURNAL OF ACADEMIC LIBRARIANSHIP,2014,580,0.448,0.00102
Australian Academic & Research Libraries,2014,83,0.424,0.00016
Journal of Global Information Management,2014,212,0.424,0.00026
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2014,623,0.407,0.00044
LIBRARY TRENDS,2014,412,0.386,0.00042
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2014,509,0.37,0.00061
Profesional de la Informacion,2014,174,0.356,0.00036
Information & Culture,2014,14,0.35,0.0002
LIBRARY AND INFORMATION SCIENCE,2014,19,0.278,4.00E-05
JOURNAL OF SCHOLARLY PUBLISHING,2014,65,0.267,0.00021
Malaysian Journal of Library & Information Science,2014,90,0.238,0.00016
REFERENCE & USER SERVICES QUARTERLY,2014,127,0.233,0.00028
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2014,87,0.231,0.00019
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2014,146,0.212,6.00E-05
LIBRI,2014,150,0.175,0.00015
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2014,58,0.167,0.00019
Australian Library Journal,2014,39,0.14,7.00E-05
Investigacion Bibliotecologica,2014,38,0.104,8.00E-05
Transinformacao,2014,19,0.095,9.00E-05
Informacao & Sociedade-Estudos,2014,31,0.082,2.00E-05
INFORMATION TECHNOLOGY AND LIBRARIES,2014,83,0.075,0.0001
Informacios Tarsadalom,2014,7,0.045,1.00E-05
African Journal of Library Archives and Information Science,2014,19,0.038,3.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2014,4,0.023,2.00E-05
ECONTENT,2014,21,0.016,6.00E-05
Aslib Journal of Information Management,2014,3,Not Available,0
Journal of the Association for Information Science and Technology,2014,78,Not Available,1.00E-05
MIS QUARTERLY,2015,11320,5.384,0.01136
JOURNAL OF INFORMATION TECHNOLOGY,2015,1695,4.775,0.00268
Journal of Computer-Mediated Communication,2015,3160,3.541,0.0039
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2015,6622,3.428,0.01683
INFORMATION SYSTEMS RESEARCH,2015,5175,3.047,0.00751
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2015,3818,3.025,0.00352
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2015,1981,2.892,0.00254
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2015,1937,2.692,0.00317
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2015,1159,2.595,0.00128
INFORMATION SYSTEMS JOURNAL,2015,1052,2.522,0.00154
GOVERNMENT INFORMATION QUARTERLY,2015,1580,2.515,0.00249
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2015,6148,2.452,0.00937
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2015,6148,2.452,0.00937
Journal of Informetrics,2015,1458,2.373,0.0038
TELEMATICS AND INFORMATICS,2015,649,2.261,0.00137
International Journal of Computer-Supported Collaborative Learning,2015,518,2.2,0.00105
INFORMATION & MANAGEMENT,2015,4415,2.163,0.00317
SCIENTOMETRICS,2015,6436,2.084,0.00952
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2015,3556,2.065,0.00563
JOURNAL OF HEALTH COMMUNICATION,2015,2851,2.013,0.00864
Journal of the Association for Information Science and Technology,2015,453,1.864,0.00139
Journal of the Association for Information Systems,2015,1372,1.79,0.00197
Journal of Knowledge Management,2015,2047,1.689,0.00149
COLLEGE & RESEARCH LIBRARIES,2015,715,1.568,0.00116
SOCIAL SCIENCE COMPUTER REVIEW,2015,968,1.525,0.00211
RESEARCH EVALUATION,2015,740,1.467,0.0012
Information and Organization,2015,418,1.419,0.00071
INFORMATION PROCESSING & MANAGEMENT,2015,2296,1.397,0.00222
INFORMATION SOCIETY,2015,816,1.333,0.00104
PORTAL-LIBRARIES AND THE ACADEMY,2015,305,1.286,0.00054
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2015,221,1.239,0.00055
LIBRARY & INFORMATION SCIENCE RESEARCH,2015,806,1.23,0.00113
ONLINE INFORMATION REVIEW,2015,716,1.152,0.0012
Information Technology & People,2015,413,1.15,0.00042
JOURNAL OF ACADEMIC LIBRARIANSHIP,2015,827,1.15,0.00133
ASLIB PROCEEDINGS,2015,343,1.147,0.00042
ASLIB PROCEEDINGS,2015,343,1.147,0.00042
INFORMATION TECHNOLOGY AND LIBRARIES,2015,217,1.094,0.00043
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2015,770,1.084,0.00091
JOURNAL OF DOCUMENTATION,2015,1354,1.063,0.00116
LEARNED PUBLISHING,2015,258,1.053,0.00066
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2015,280,1,0.00031
TELECOMMUNICATIONS POLICY,2015,1077,0.982,0.00188
MIS Quarterly Executive,2015,351,0.909,0.00069
JOURNAL OF INFORMATION SCIENCE,2015,1216,0.878,0.00134
Information Technology for Development,2015,258,0.857,0.00037
LIBRARY HI TECH,2015,355,0.798,0.00053
Information Development,2015,175,0.787,0.00041
Journal of Global Information Technology Management,2015,207,0.75,0.00014
Ethics and Information Technology,2015,368,0.739,0.00066
LIBRARY QUARTERLY,2015,387,0.735,0.0003
Health Information and Libraries Journal,2015,544,0.712,0.00065
Profesional de la Informacion,2015,299,0.71,0.00053
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2015,338,0.692,0.0002
Aslib Journal of Information Management,2015,32,0.676,0.00009
LAW LIBRARY JOURNAL,2015,230,0.643,0.00016
Information Technology & Management,2015,226,0.6,0.00043
Knowledge Management Research & Practice,2015,401,0.595,0.00034
JOURNAL OF SCHOLARLY PUBLISHING,2015,97,0.579,0.00019
Australian Academic & Research Libraries,2015,107,0.559,0.00026
Revista Espanola de Documentacion Cientifica,2015,173,0.551,0.00041
KNOWLEDGE ORGANIZATION,2015,184,0.522,0.00021
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2015,591,0.482,0.00073
Malaysian Journal of Library & Information Science,2015,104,0.476,0.00026
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2015,813,0.473,0.00072
INTERLENDING & DOCUMENT SUPPLY,2015,138,0.444,3.00E-05
ELECTRONIC LIBRARY,2015,346,0.436,0.0005
SERIALS REVIEW,2015,145,0.418,0.00033
LIBRARY JOURNAL,2015,355,0.411,0.00078
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2015,354,0.387,0.00011
SCIENTIST,2015,223,0.369,0.00053
REFERENCE & USER SERVICES QUARTERLY,2015,200,0.348,0.00048
LIBRI,2015,192,0.339,0.00027
Journal of Global Information Management,2015,236,0.303,0.00014
LIBRARY RESOURCES & TECHNICAL SERVICES,2015,127,0.233,0.00019
Australian Library Journal,2015,60,0.214,0.00011
LIBRARY TRENDS,2015,546,0.208,0.00025
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2015,21,0.207,0.00007
Information & Culture,2015,25,0.195,0.00023
LIBRARY AND INFORMATION SCIENCE,2015,12,0.158,0.00001
Journal of Organizational and End User Computing,2015,116,0.156,0.00018
Investigacion Bibliotecologica,2015,41,0.146,0.00009
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2015,56,0.136,0.0001
Transinformacao,2015,27,0.115,0.00007
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2015,45,0.094,0.00005
African Journal of Library Archives and Information Science,2015,44,0.071,3.00E-05
Informacao & Sociedade-Estudos,2015,32,0.043,3.00E-05
ECONTENT,2015,25,0.013,0.00004
MIS QUARTERLY,2016,"14,561",7.268,0.01246
JOURNAL OF INFORMATION TECHNOLOGY,2016,"2,515",6.953,0.00284
INFORMATION SYSTEMS JOURNAL,2016,"1,416",4.122,0.00147
Journal of Computer-Mediated Communication,2016,"4,011",4.113,0.005
GOVERNMENT INFORMATION QUARTERLY,2016,"2,719",4.09,0.00295
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2016,"3,087",3.872,0.00376
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2016,"7,655",3.698,0.01723
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2016,"1,580",3.486,0.00131
International Journal of Computer-Supported Collaborative Learning,2016,656,3.469,0.00093
TELEMATICS AND INFORMATICS,2016,"1,104",3.398,0.00182
INFORMATION & MANAGEMENT,2016,"5,783",3.317,0.0036
Journal of Informetrics,2016,"2,067",2.92,0.00473
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2016,"2,395",2.819,0.00221
INFORMATION SYSTEMS RESEARCH,2016,"6,257",2.763,0.00732
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2016,"4,276",2.502,0.00481
INFORMATION PROCESSING & MANAGEMENT,2016,"3,067",2.391,0.00283
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2016,"4,456",2.356,0.00289
Journal of the Association for Information Science and Technology,2016,978,2.322,0.00354
RESEARCH EVALUATION,2016,919,2.312,0.00159
SOCIAL SCIENCE COMPUTER REVIEW,2016,"1,263",2.293,0.0026
SCIENTOMETRICS,2016,"7,831",2.147,0.01078
Journal of the Association for Information Systems,2016,"1,702",2.109,0.00224
Information and Organization,2016,515,2.083,0.0008
Journal of Knowledge Management,2016,"2,774",2.053,0.00147
QUALITATIVE HEALTH RESEARCH,2016,"6,733",2.036,0.00716
MIS Quarterly Executive,2016,483,1.741,0.00067
Information Development,2016,319,1.691,0.00045
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2016,829,1.638,0.00096
JOURNAL OF HEALTH COMMUNICATION,2016,"3,233",1.614,0.00707
INFORMATION SOCIETY,2016,"1,042",1.558,0.00075
ONLINE INFORMATION REVIEW,2016,"1,042",1.534,0.00116
TELECOMMUNICATIONS POLICY,2016,"1,509",1.526,0.00227
COLLEGE & RESEARCH LIBRARIES,2016,977,1.515,0.00124
Aslib Journal of Information Management,2016,118,1.514,0.00034
Ethics and Information Technology,2016,569,1.5,0.00053
JOURNAL OF INFORMATION SCIENCE,2016,"1,585",1.372,0.00156
Information Technology & People,2016,642,1.339,0.00051
Information Technology for Development,2016,382,1.333,0.00048
LEARNED PUBLISHING,2016,322,1.333,0.0007
PORTAL-LIBRARIES AND THE ACADEMY,2016,445,1.29,0.00088
JOURNAL OF ACADEMIC LIBRARIANSHIP,2016,"1,241",1.287,0.00136
LIBRARY & INFORMATION SCIENCE RESEARCH,2016,962,1.185,0.00116
Journal of Global Information Technology Management,2016,228,1.167,0.00016
Information Technology & Management,2016,281,1.067,0.00042
Profesional de la Informacion,2016,466,1.063,0.00045
INFORMATION TECHNOLOGY AND LIBRARIES,2016,260,1.029,0.00039
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2016,352,1.019,0.00058
Knowledge Management Research & Practice,2016,540,1.013,0.00048
Health Information and Libraries Journal,2016,663,0.875,0.00071
JOURNAL OF DOCUMENTATION,2016,"1,497",0.853,0.00104
KNOWLEDGE ORGANIZATION,2016,297,0.831,0.00014
Journal of Organizational and End User Computing,2016,138,0.759,5.00E-05
LIBRARY HI TECH,2016,454,0.759,0.00072
Revista Espanola de Documentacion Cientifica,2016,248,0.746,0.00026
Malaysian Journal of Library & Information Science,2016,134,0.65,0.00024
Australian Academic & Research Libraries,2016,177,0.647,0.0003
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2016,732,0.574,0.0009
LIBRARY QUARTERLY,2016,474,0.558,0.00048
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2016,330,0.556,0.00037
LAW LIBRARY JOURNAL,2016,283,0.54,0.00011
Journal of Global Information Management,2016,319,0.517,0.00013
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2016,862,0.49,0.00057
ELECTRONIC LIBRARY,2016,382,0.484,0.00043
LIBRARY RESOURCES & TECHNICAL SERVICES,2016,165,0.484,0.00016
JOURNAL OF SCHOLARLY PUBLISHING,2016,100,0.472,0.00012
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2016,585,0.458,0.00024
LIBRI,2016,213,0.4,0.00028
SERIALS REVIEW,2016,184,0.379,0.00035
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2016,196,0.367,9.00E-05
Information & Culture,2016,59,0.364,0.00018
LIBRARY AND INFORMATION SCIENCE,2016,29,0.364,3.00E-05
Transinformacao,2016,60,0.352,8.00E-05
REFERENCE & USER SERVICES QUARTERLY,2016,261,0.339,0.00024
SCIENTIST,2016,236,0.325,0.0003
LIBRARY TRENDS,2016,663,0.259,0.00065
Australian Library Journal,2016,103,0.255,0.00019
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2016,149,0.2,0.00011
African Journal of Library Archives and Information Science,2016,48,0.179,2.00E-05
INTERLENDING & DOCUMENT SUPPLY,2016,80,0.175,3.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2016,31,0.158,1.00E-05
Investigacion Bibliotecologica,2016,65,0.125,4.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2016,57,0.111,3.00E-05
Informacao & Sociedade-Estudos,2016,54,0.086,4.00E-05
ECONTENT,2016,17,0.025,2.00E-05
Informacios Tarsadalom,2016,4,0.022,0
MIS QUARTERLY,2017,"15,184",5.43,0.01195
JOURNAL OF INFORMATION TECHNOLOGY,2017,"1,170",4.535,0.0015
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2017,"3,626",4.516,0.0041
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2017,"1,464",4.313,0.00113
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2017,"8,713",4.27,0.01757
INFORMATION SYSTEMS JOURNAL,2017,"1,580",4.267,0.00164
GOVERNMENT INFORMATION QUARTERLY,2017,"2,837",4.009,0.00302
Journal of Computer-Mediated Communication,2017,"4,181",4,0.00512
INFORMATION & MANAGEMENT,2017,"6,406",3.89,0.00399
TELEMATICS AND INFORMATICS,2017,"1,574",3.789,0.00251
Journal of Informetrics,2017,"2,334",3.484,0.00452
INFORMATION PROCESSING & MANAGEMENT,2017,"3,250",3.444,0.00307
International Journal of Computer-Supported Collaborative Learning,2017,721,3.273,0.00069
SOCIAL SCIENCE COMPUTER REVIEW,2017,"1,631",3.253,0.00352
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2017,"2,597",3.197,0.00279
Journal of the Association for Information Systems,2017,"1,842",2.839,0.0023
Journal of the Association for Information Science and Technology,2017,"1,904",2.835,0.00602
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2017,"4,560",2.744,0.00366
Journal of Knowledge Management,2017,"3,318",2.551,0.00132
Journal of Enterprise Information Management,2017,961,2.482,0.00072
RESEARCH EVALUATION,2017,"1,049",2.449,0.00156
QUALITATIVE HEALTH RESEARCH,2017,"7,660",2.413,0.00711
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2017,"5,019",2.37,0.00498
INFORMATION SYSTEMS RESEARCH,2017,"6,640",2.301,0.00845
SCIENTOMETRICS,2017,"8,766",2.173,0.01068
TELECOMMUNICATIONS POLICY,2017,"1,790",2.087,0.0019
JOURNAL OF INFORMATION SCIENCE,2017,"1,792",1.939,0.0017
INFORMATION SOCIETY,2017,"1,174",1.889,0.00108
MIS Quarterly Executive,2017,459,1.862,0.00056
Information and Organization,2017,600,1.857,0.00089
ONLINE INFORMATION REVIEW,2017,"1,218",1.675,0.0013
JOURNAL OF HEALTH COMMUNICATION,2017,"3,695",1.648,0.00765
Information Technology & People,2017,673,1.639,0.00058
Information Technology & Management,2017,501,1.635,0.00051
LEARNED PUBLISHING,2017,458,1.632,0.00076
COLLEGE & RESEARCH LIBRARIES,2017,"1,121",1.626,0.00084
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2017,932,1.541,0.00089
PORTAL-LIBRARIES AND THE ACADEMY,2017,551,1.473,0.00054
Aslib Journal of Information Management,2017,193,1.461,0.00058
JOURNAL OF ACADEMIC LIBRARIANSHIP,2017,"1,449",1.459,0.00128
Information Technology for Development,2017,410,1.387,0.0004
LIBRARY & INFORMATION SCIENCE RESEARCH,2017,"1,059",1.372,0.00088
Profesional de la Informacion,2017,670,1.318,0.00052
Health Information and Libraries Journal,2017,838,1.19,0.00053
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2017,473,1.17,0.00034
JOURNAL OF DOCUMENTATION,2017,"1,797",1.157,0.00099
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2017,372,1.089,0.00053
Ethics and Information Technology,2017,575,1.08,0.00061
Journal of Global Information Technology Management,2017,200,1,0.00012
INFORMATION TECHNOLOGY AND LIBRARIES,2017,245,0.968,0.0002
LIBRARY QUARTERLY,2017,567,0.913,0.00032
Information Development,2017,331,0.905,0.00042
Knowledge Management Research & Practice,2017,567,0.864,0.00042
Australian Academic & Research Libraries,2017,210,0.818,0.00021
ELECTRONIC LIBRARY,2017,611,0.8,0.00046
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2017,905,0.762,0.00072
LIBRARY HI TECH,2017,502,0.759,0.0004
Journal of Organizational and End User Computing,2017,189,0.744,0.00017
LIBRARY RESOURCES & TECHNICAL SERVICES,2017,143,0.657,8.00E-05
Revista Espanola de Documentacion Cientifica,2017,319,0.632,0.00048
Journal of Global Information Management,2017,297,0.613,0.00011
LAW LIBRARY JOURNAL,2017,267,0.583,0.00012
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2017,"1,089",0.571,0.00049
KNOWLEDGE ORGANIZATION,2017,250,0.559,0.00024
SCIENTIST,2017,247,0.537,0.00052
Australian Library Journal,2017,134,0.5,0.00017
LIBRI,2017,254,0.5,0.00017
LIBRARY TRENDS,2017,762,0.474,0.00028
LIBRARY JOURNAL,2017,437,0.458,0.00034
JOURNAL OF SCHOLARLY PUBLISHING,2017,89,0.447,0.00012
Malaysian Journal of Library & Information Science,2017,171,0.425,0.00012
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2017,501,0.4,0.00022
